short_text,true,predicted
It is supposed to lower the risk of breast cancer.  There was another abnormal mammogram & biopsy tw,positiva,positiva
I need to take this medication a few nights in a row which seems to get my sleep cycle back in sync.,positiva,positiva
the low dosage of Lisinopril reduced my blood pressure from 138/96 to 127/90. Soon after starting tr,neutra,positiva
"--reduced redness on face [especially around nose and cheek areas]
--helps reduce time that an ope",positiva,positiva
Anxiety greatly diminished shortly after taking alprazolam.  The alprazolam was also effective in ca,positiva,positiva
"If I have a classical migraine, I cannot function without taking an Imitrex. Imitrex takes the edge ",positiva,positiva
suppose to stop my watery eyes. Had little or no effect no side effects I was to take it twice a day,negativa,positiva
"Initially, I was concerned because I had knee surgery and was on crutches for six months.  I gained ",neutra,positiva
"I experienced weight loss, improved insulin sensitivity, increased energy and decreased carbohydrate",positiva,positiva
Benefits were milder and less frequent seizures. Tiredness Started taking after brain injury due to ,positiva,positiva
"While on the drug I did not have any large, red acne lesions. Lupus-like symptoms that were very sev",negativa,negativa
"The main benefit is the ability of the drug to reduce, even eliminate the panic attacks. The general",positiva,neutra
This did help clear acne infections and helped skin somewhat improve The side effects included sun s,negativa,neutra
The treatment benefits of Vicodin (Hydrocodone and Acetaminophen) were relief of severe pain from su,negativa,negativa
"lifted mood from severely depressed to being able to live normally,still taking 75mg and pobably wil",positiva,neutra
"not worth the cost of the side effects.  Becasue I was so miserable, I discontinued the medication e",negativa,negativa
I had been having abdominal pain for quites some time which was diagnosed as h-pylorybacter.  I star,negativa,negativa
I am DEFINITELY more able to manage my emotions and feelings. I can speak on the telephone to people,positiva,negativa
I've only been on it for a week but I've noticed a change already. I am more awake and it seems as t,neutra,neutra
I took my puppy to the vet. The puppy was having diarrhea and vomiting. The vet gave him metoclopram,negativa,negativa
The drug was very effective at first at getting me out of depression.  However it lost effectiveness,negativa,neutra
"The infection cleared Loss of appetite, heartburn, nausea,light headed feeling, gas, bloating,did no",neutra,negativa
I've only been on it for a week but I've noticed a change already. I am more awake and it seems as t,neutra,neutra
 Nearly died after a severe asthmatic reaction to this drug.  My OB prescribed this for me after Pro,negativa,negativa
The drug got rid of the acne but the problem reoccurred a year later none I had severe acne on the c,positiva,negativa
There were no benefits that I could perceive.  The hairloss continued but worst of all the side-effe,negativa,negativa
"Since using the Retin-A along with the Accutane, I have noticed a great improvement in the look of m",neutra,neutra
"the benefits foe the pain was good, it helped the constant pain i was having in my muscles and the o",neutra,neutra
Decreased depression. Decreased anxiety with heart palpatations. Decreased libido (which was tempora,positiva,neutra
aldara was used on several areas on my face where i had scar revision surgery to help heal surgical ,neutra,neutra
